title,description,keywords,priority,effectiveness,complexity
Improved Road Signage,"Improve placement and clarity of road signs to warn drivers near schools and intersections.","sign,visibility,warning",Medium,High,Low
Pedestrian Crossing Enhancement,"Install zebra crossings and pedestrian signals to ensure pedestrian safety.","crosswalk,zebra,pedestrian crossing",High,High,Medium
Speed Calming Measures,"Install speed humps and rumble strips to reduce vehicle speed near schools and residential areas.","speed hump,speed breaker,overspeed",Medium,High,Medium
Street Lighting Upgrade,"Install high-intensity LED street lights to improve visibility during night time.","lighting,visibility,night",High,High,Medium
Guard Rails Installation,"Install metal beam crash barriers on sharp curves and embankments.","barrier,guardrail,curve",High,High,High
Road Markings Renewal,"Repaint faded lane markings and pedestrian crossings for improved guidance.","marking,line faded,lanes",Low,Medium,Low
Traffic Signal Synchronization,"Optimize traffic signal timings to reduce red-light violations and congestion.","signal,timing,traffic light",Medium,Medium,Medium
Black Spot Improvement,"Redesign road geometry and signage at accident-prone black spots.","accident hotspot,blackspot,collision",High,High,High
Shoulder Widening,"Provide paved shoulders to allow safe vehicle recovery and avoid edge drop-offs.","shoulder,narrow road,edge",High,High,Medium
Speed Limit Enforcement,"Install speed cameras and display warning signs for strict enforcement.","camera,speed camera,violation",High,High,Medium
Drainage Maintenance,"Ensure proper drainage systems to prevent skidding and surface damage.","waterlogging,drain,flood",Medium,Medium,Medium
Road Surface Maintenance,"Repair potholes and resurface damaged sections for smoother movement.","pothole,uneven surface,damaged road",Medium,High,Medium
Bus Bay Construction,"Construct bus bays to prevent lane blockage by stationary buses.","bus stop,congestion,public transport",Low,Medium,Medium
Pedestrian Guardrails,"Install guardrails to separate pedestrian movement from vehicles.","footpath,fence,pedestrian safety",Low,Medium,Low
Crash Barrier at Bridges,"Install crash barriers on bridges and culverts to prevent vehicle fall accidents.","bridge,river,drop",High,High,High
